,created_at,text,sentiment
0,2020-04-15 01:03:46+00:00,"RT @RobertBeadles: Yocollision
Enter to WIN 1,000 Monarch Tokenswhite_heavy_check_mark

US Stock Market Crashes &amp; what we can LEARN from them PT3!

RETWEET, WATCH video…",positive
1,2020-06-25 06:20:06+00:00,"#SriLanka surcharge on fuel removed!
fuel_pumpchart_decreasing
The surcharge of Rs.26 imposed on diesel and petrol has been revoked with effect from midnight on June 23 says Power, Energy and Transport Minister Mahinda. Amaraweera -Adaderana-

#lka #FuelPrices #taxes #economy #stocks #StockMarket",negative
2,2020-06-04 15:41:45+00:00,Net issuance increases to fund fiscal programs &gt; yields spike higher &gt; risk off: #stocks and #EMFX correct lower &gt; #Fed comes in with #YCC &gt; stocks to new all time highs with 20% unemployment and -25% GDP. Fin.,positive
3,2020-07-03 19:39:35+00:00,RT @bentboolean: How much of Amazon's traffic is served by Fastly? Help us find out by running this tool from your IP address: https://t.co…,positive
4,2020-07-09 14:39:14+00:00,$AMD Ryzen 4000 desktop CPUs looking ‘great’ and on track to launch in 2020 https://t.co/y7yYvXOVYJ #madtweets #stocks #cnbc #AMD,positive
5,2020-04-12 21:52:56+00:00,"RT @QuantTrend: Reduce your portfolio RISK! GOLD is a perfect tail HEDGE!

Central banks balance sheet expansion &amp; large fiscal deficits &amp;…",positive
6,2020-06-09 05:23:06+00:00,"$863.69 Million in Sales Expected for Spirit AeroSystems Holdings, Inc. $SPR This Quarter https://t.co/zoqBvspVSj #stocks",positive
7,2020-06-02 01:12:29+00:00,"RT @ArjunKharpal: #Apple has cut the prices of the iPhone 11 range by about 12-13% in China. It's an uncommon move. 

These discounts are n…",negative
8,2020-05-07 04:58:41+00:00,"RT @SMA_alpha: The #CDC U.S. New Case data has a 2 day lag, but saw another encouraging decline #WHO Global New Case data still flat at the…",negative
9,2020-05-04 15:16:29+00:00,"Where to Look for Dependable Dividends
Read More &gt; https://t.co/qKvNFF2ih5
#etf #investing #stocks #business #news",neutral
10,2020-04-27 00:41:06+00:00,RT @PipsToDollars: Earnings $AMZN $TSLA $MSFT $AAPL $AMD $BA $FB $LUV $MMM $GE $AAL $UPS $TWTR $PFE $CBSH $PEP $MA $GOOGL $GILD $SBUX $UAL…,neutral
11,2020-06-04 07:29:51+00:00,Guys if market stays below 10000 till 2 expect a major major crash in nifty #nifty #banknifty #stocks,negative
12,2020-06-06 15:06:34+00:00,How will the future fly for Spirit Air $SAVE ? #Blog with Stocks&amp;Sports on $FB robot_face Bots &amp; AI also welcome to blog about #salesforce $CRM @Tommycoulter4 https://t.co/SBae6qvO6p,neutral
13,2020-06-14 18:33:57+00:00,Interesting comparison to 2007-09 market of $SPX stocks above 200 day. Much of 2008 bear market was under that 50 level marked by red line. Once it got above 65% level in summer 2009 the smoke cleared. Not as weak in 2020 but something to watch https://t.co/eWP915CcBj,negative
14,2020-06-01 09:27:28+00:00,"#CANBK

CANBK 25-Jun-2020 , Now @ 93++++++++++++++++

#nifty #banknifty #equity #stocks #analysis #trading #sp https://t.co/OSGXfbjKqf",neutral
15,2020-06-16 17:36:40+00:00,"4/ that is, Spot premium. No major price peaks during this phase.

During distribution, funding stays largely positive &amp; futures trade at premium constantly.

So, constant spot premium is a precursor to organic demand $BTC #BTC #Bitcoin #TA #SP500",positive
16,2020-07-01 11:30:04+00:00,Chile: On The Road to Recovery in 2021? https://t.co/xp152EE1hm $AAPL $TSLA $FB https://t.co/cHvzQi7Fv3,neutral
17,2020-05-07 13:10:28+00:00,"RT @ForecastCity: Latest #EURNZD #TradeIdeas &amp; #TechnicalAnalysis is FREE now!

2686 pip #Profit in 82 days!

#Euro #EUR #NZD #Money #Forex…",positive
18,2020-07-09 02:30:51+00:00,"$VIR 

Since April i posted these levels 

Just follow the thread and the levels for support &amp; resistance / SL &amp; TP .

$SPX #nasdaq #TechnicalAnalysis #StockMarket #daytrading
$SPY $QQQ $IWM https://t.co/SsJ3JYbP0v https://t.co/2J0zIly9Yy",positive
19,2020-04-15 16:46:49+00:00,@EpiphronR  China Population 1.3 Billion Reasons $30 $IQ IQIYI &amp; $GLUU Short Squeeze Bullish Call Especially w New Sorcerer's Arena Game NetFlix Is At All Time High $NFLX $DIS Netflix +4.7% to record high as Imperial bumps PT https://t.co/h2HBNi7ir0 $AMZN $INTC $SNAP $AAPL $AMAT,neutral
20,2020-07-13 06:59:35+00:00,"RT @RafKadian: $tsla &amp; $nio fot the day #trading #stocks
#RafTrading111 @adssgroup https://t.co/zwFA8po9YI",neutral
21,2020-04-15 11:48:14+00:00,"Q1 2020 EPS Estimates for Merck &amp; Co., Inc. $MRK Lowered by SVB Leerink  https://t.co/vi2fdhysb8",negative
22,2020-04-23 02:31:43+00:00,"RT @JohriNikhil: 3 of 8 #banks that infused confidence capital in #YesBank sold partial stakes from the ""free from lock-in"" portion at btw…",negative
23,2020-06-17 01:55:39+00:00,"RT @Reveretrading: As promised, June 17 Plan

*Click on Picture to Expand* pushpin

Please feel free to share or like, I would appreciate your su…",neutral
24,2020-04-15 09:40:06+00:00,"8911.....IT IS THE BEST TIME TO COVER YOUR SHORTS

#banknifty #trading #stocks #stockmarket #news #gold #silver #coronavirus 
#Nifty #equity 
#portfolio #markets #research #results #daytrading #finance #investments #intraday #India #stockstowatch
#StocksToTrade https://t.co/VjBrk7ugr0",positive
